**GBVN** **ZJXC** **RDLQ** **DXPN** **SDPM** **LFDT** **WPGZ** **KNRT** **DBKS** **CFZL** **XTVW** **QZNB** **RPSC** **NGSB** **RMVB** **ZMGF** **SBGC** **NQPZ** **DKSW** **FGVB**
**HQKJ** **RKHW** **HGZS** **THKC** **JGVR** **WQRC** **VMXR** **CSZM** **GPWX** **SNWD** **JDBS** **FCXM** **JXHB** **FRMK** **TJXG** **CNDR** **RTLW** **BGMH** **BRNM** **QXWH**
SCHBCSHB HBBJHTJT JTJDTQDQ DQDXQZZX ZXSGZXSG SGG.SCC? CQCPQZZP ZPPNZLLN LNDLNXXD XDRXZDZR ZRXTRZXT XTTZXGGZ GZJPZGPJ PJFJPKFK FKTFXKXT XTTNDXDN DNRBDNBR BRBRPXPX PXDKPXKD KDFXDKFX
**QVZR** **XDZW** **RHMK** **JVRL** **RMGS** **QTFH** **CJPS** **TZKH** **LMTD** **JZDH** **BMCX** **SRXV** **TWFK** **XSQD** **WPRM** **KGWV** **FXNL** **PBVK** **GJRS** **VCMT**
DHHMDSMS MSTDMSTD TDTFDZFZ FZNVFZVN VNXMVNXM XMMTBXTB TBLBTWLW LWLZWQQZ QZPMQZPM PMSBPMSB SBBMSLML MLSDMLDS DSSWFDWF WFFNWHHN HNVNJHJV JV.JBV?B KBVRBKVR VRGBVRBG BGGBRNRN RNVCNRCV
WTQVTWVQ VQXVQWXW XWLHXWLH LHKHGLGK GKKLGFFL FLLVFSSV SVHJVSJH JHTNJHTN TNNCTGCG CGGZC.Z? ZQGQZXGX GXQGX.?Q KQLQZKLZ LZKSZLSK SKKSRZRZ RZ.GZRG? GHHXZGXZ XZSZ.X?S TSMWTSMW MWKWMLLK
XGBGXRRB RBJRGBGJ GJRJGPPR PRPSRWSW SWHWZSZH ZHKZDHDK DKKDGFGF GFGFKDKD KDRKVDRV RVFVDRDF DFDFWVVW VWWTBVBT BTTCBMCM CMXMCDXD XDXPDLLP LPPQNLNQ NQWQNLLW LWPWLKPK PKKJFPJF JFJGPFPG
JFLFZJZL ZLLNZKKN KNQNMKMQ MQJMQDDJ DJRJDPPR PRQNRPNQ NQCQPNCP CPCBSPBS BSLBSWWL WLJWL.J? JHPJCHCP CPCRP.?R HRRHJVVJ VJTJQVTQ TQWQTMWM WMMCWSSC SCFSMCFM FMFM.D?D HDHXDQQX QXXHQTHT
**LFTW** **LVMK** **QNXZ** **KMFW** **KJVF** **MVDX** **HBTN** **CNWD** **NKQG** **FWPQ** **DFSL** **CTMK** **RHBM** **FMCH** **VSTL** **MJBL** **WSBC** **FWLX** **HWDP** **KGQF**
**HGXS** **JRQS** **TJGW** **PHQZ** **HWDN** **LZRP** **KQVF** **LFJP** **RBSZ** **GVLM** **PQZH** **WGPL** **SQZD** **TJZL** **KQDH** **PCZR** **HQZK** **GZHR** **KBTN** **XWNR**

**LFTW** **LVMK** **QNXZ** **KMFW** **KJVF** **MVDX** **HBTN** **CNWD** **NKQG** **FWPQ** **DFSL** **CTMK** **RHBM** **FMCH** **VSTL** **MJBL** **WSBC** **FWLX** **HWDP** **KGQF**
**HGXS** **JRQS** **TJGW** **PHQZ** **HWDN** **LZRP** **KQVF** **LFJP** **RBSZ** **GVLM** **PQZH** **WGPL** **SQZD** **TJZL** **KQDH** **PCZR** **HQZK** **GZHR** **KBTN** **XWNR**
VBVFBWWF WFBS.SBS BSBJGSGJ GJJG.ZBZ BZV.V.VY VY.VRRRB RB.BB.JY JY..JJX? X?..C.CX CX.VB.VB VB....GB GBBG..ND ND...D?V ?V..S.SY SY.S..?C ?C.C..Y? Y?.X..TX TXX..XCT CTTBT.BC BCX.X.?X
XDZDXSSZ SZ.SKKZK ZKTKHZTH TH.H.WWY WY.W.SLS LSL.DDYD YDD...W? W?.FW.YF YF....YF YFFW..WX WXD.XWD? D?....?X ?XS...NS NST.S.T? T?..TTFY FY..Z.KZ KZZ.ZKYD YD.W.QWQ WQ.WDFFD FDF..FRB
HCHRTCRT RTTRMRDM DMQNDMNQ NQ.NQ.Q? Q?.Q..M? M?MZ..Z? Z?....MS MS.SWDWD WDDL..?L ?LGGL.G? G?....VJ VJ...KKQ KQQQT.TY TYTM.MMV MVV.MLLN LNM..LMF MF.Q..?Q ?QX..XXY XY.W..WY WY.W..JL
PJLGPJLG LGL.L.XC XCCRXWRW RWJN.WJN JN.J.NCT CT....JS JS....PR PRLN.PLN LNNLS.HS HS...HYS YS..S.YC YCC.C.BY BY..B.CZ CZZCCHHX HXKX.HKW KW.Q..QH QHHS.SSJ SJ.Z..Z? Z?...NN? N?.GN.GY
**ZRBC** **BYL?** **CKDM** **CNVF** **PQZS** **LBXD** **HQBX** **KSFB** **RKCZ** **NVDH** **HPXW** **MNWV** **QLTD** **PDSM** **RXFT** **PVSJ** **RXLK** **XDFM** **TJCF** **FZVD**
**VDPJ** **TSKR** **BRHS** **JGXR** **VJHC** **NKVR** **DTKG** **NPQJ** **DLPV** **QGBS** **RLTK** **BGCF** **JFMH** **ZCWB** **HGMK** **TQRB** **ZWDS** **PLNQ** **RLPG** **CLXH**

**ZRBC** **BYL?** **CKDM** **CNVF** **PQZS** **LBXD** **HQBX** **KSFB** **RKCZ** **NVDH** **HPXW** **MNWV** **QLTD** **PDSM** **RXFT** **PVSJ** **RXLK** **XDFM** **TJCF** **FZVD**
**VDPJ** **TSKR** **BRHS** **JGXR** **VJHC** **NKVR** **DTKG** **NPQJ** **DLPV** **QGBS** **RLTK** **BGCF** **JFMH** **ZCWB** **HGMK** **TQRB** **ZWDS** **PLNQ** **RLPG** **CLXH**
LNZNBLZB ZBBVZ.PV PVPVHSHS HSSHXFFX FXFXZSSZ SZLSZRRL RLHTRLHT HTHTFBBF BFRKFBRK RK.RKS?S QSHQSKHK HKK.WHW? WGJFWGJF JFP.JF?P CPHCFPFH FHPVFHPV PVRWPVRW RWRW.M?M FMMJKFKJ KJKZVJZV
WPKRPWRK RK?NK?N? NLLKDNDK DKJKDRJR JRDJHRDH DHMBHDBM BMMQBCQC QCNCQVNV NVNLHVLH LHWLBHBW BWFBXWFX FXT.XFT? TNQNTSSQ SQQ.SGG? GDRGDNRN RNNQRDDQ DQQXDCXC XCXHCQHQ HQRQCHCR CRCMRDDM
DFFDXCCX CXB...BQ BQBGQMMG MGBGVMVB VBVQBKKQ KQQK.WW? WXZWKXKZ KZKSWZWS WSDWCSCD CDCGDTTG TGGPTMPM PMMPDVVD VDVXMDXM XM.XWM?W TWWXJTJX JXGXSJSG SGJGLSLJ LJPLSJSP SPWSPGWG WGWGXHXH
MTVMTJVJ VJ?V.??F RFCRTFCT CTCNTWWN WNPWNCCP CPNP.C?N VNDVNGGD GDDPGJPJ PJXJPZZX ZX.VXZ?V NVRLNVRL RLBLCRCB CBCLBHHL HL.HLB?B ZBZBMKKM KMTKMBTB TBZBTKKZ KZZD.KD? DNTLNDLT LTFLPTFP
**KMTL** **?NZK** **LVTF** **BHDW** **DXNK** **MSHC** **ZWRL** **DCWV** **XJFB** **WRXT** **FQNV** **TPDH** **VXBG** **QXJF** **WCDN** **NXMD** **JBPV** **RHSK** **MSNH** **KMPJ**
**FNXW** **YVHG** **PGQN** **SKTM** **FWBR** **QPZW** **MVNC** **HTGZ** **NWHS** **CLKZ** **GBSM** **KLXR** **CNWS** **THLG** **ZBJP** **GKFH** **QGTC** **ZWCJ** **WQKD** **WGRT**

**KMTL** **?NZK** **LVTF** **BHDW** **DXNK** **MSHC** **ZWRL** **DCWV** **XJFB** **WRXT** **FQNV** **TPDH** **VXBG** **QXJF** **WCDN** **NXMD** **JBPV** **RHSK** **MSNH** **KMPJ**
**FNXW** **YVHG** **PGQN** **SKTM** **FWBR** **QPZW** **MVNC** **HTGZ** **NWHS** **CLKZ** **GBSM** **KLXR** **CNWS** **THLG** **ZBJP** **GKFH** **QGTC** **ZWCJ** **WQKD** **WGRT**
RCRNCWWN WN.NZ.ZB ZBPZBNNP NP...NGC GCFGCRRF RF...WWY WY.W..YJ YJJ...PK PK...KY? Y?..Q.QY QY.Q..Y? Y?..X.ZX ZX.X..KD KDK..DYW YWWB..B? B?G..RRG RGWG.CWC WC.WC.?Y ?YL...?L ?L....LZ
TZFZTPPF PFQP..JQ JQJGQWWG WGB..WBL BLHXBLHX HXMXH.M? M?M...?M ?M.R..YR YRRV.GGV GV.R..GR GRG.NNNH NHNL.HL? L?G..GG? G?T..G?T ?TZ.J.ZJ ZJB.J.YB YB.B..SY SYJWSJWJ WJW.FWTF TF...T?T
LQQGXLXG XG...GCD CDLVCDLV LVSVS.SP SPDPNSND ND..N.TB TB.W.SWS WSF.WWF? F?.CFSSC SCC...?D ?DM.DMZM ZM....YM YM.XW.XW XW.X.GZG ZGZ.Z.SY SY....P? P?..P.N? N?..S.CS CS.S.HXH XHKPP.PK
JVKMJVKM KM.R.KFR FRXRTFTX TXQ.TWQW QWQWJKKJ KJHKH.RH RHH.R.HP HPHCS.CS CS.CSSQP QP.PQ.SM SMM.SMLD LD.LDFSF SF...SYQ YQQRQ.QR QRV...VF VF..FHVH VHF.HVVF VFFQ.LLQ LQLQ..JY JY...JYN
**RGCP** **QR?S** **JZBW** **Y?RN** **HPJS** **HKNV** **HLQS** **FRXN** **RVZK** **FPMT** **MCGJ** **NBPF** **GCVQ** **KSQN** **VCZM** **BQVR** **FGHL** **FQZL** **LNBW** **QPXS**
**QZJV** **YPLM** **XRCD** **QVSJ** **QGCL** **LXTF** **CXDG** **JVSW** **DCSG** **DWQN** **LQDN** **VKDJ** **JWTP** **FRVD** **LBDH** **KDJM** **WDJR** **JTPX** **ZMFD** **CGMJ**

**RGCP** **QR?S** **JZBW** **Y?RN** **HPJS** **HKNV** **HLQS** **FRXN** **RVZK** **FPMT** **MCGJ** **NBPF** **GCVQ** **KSQN** **VCZM** **BQVR** **FGHL** **FQZL** **LNBW** **QPXS**
**QZJV** **YPLM** **XRCD** **QVSJ** **QGCL** **LXTF** **CXDG** **JVSW** **DCSG** **DWQN** **LQDN** **VKDJ** **JWTP** **FRVD** **LBDH** **KDJM** **WDJR** **JTPX** **ZMFD** **CGMJ**
KGRGMKMR MR.R?M?H WHKHCWCK CKC.S.SZ SZQZDSQD QDDKNQNK NKNKDGGD GD.VGDV? VFDVBFDB DBDBMRRM RMMRHJJH JHNHMJNM NMMWTNWT WTFTWNFN FNFNZHHZ HZBZVHVB VBFGVBFG FGFQGKQK QKQKFWFW FWQWFJQJ
BQQSBPSP SPQP.SQP QPJQPDDJ DJ.?RJR? RNNRCLLC LCLXCRXR XRWXQRWQ WQ.QMW?M JMJCSMSC SCFSCNNF NFXCFNXC XCVBXCVB VBBLVQQL QLLSQBBS BSTBDSTD TDTDJNJN JNWNJSSW SWWTZSZT ZTZCTDCD CDCDXZZX
TXXTJVVJ VJ.??M?M FMXRFMXR XR..R.KM KMMGJKJG JGGJTVVT VTCTVSSC SCCTSNNT NTNTZGZG ZGGWZTWT WTWQGTGQ GQGKPQPK PKGKDPDG DGPGVDVP VPVCPGCG CGKGCRRK RKKCHRHC HCHCPXXP XPXMBPMB MBKPMBKP
HDDZCHZC ZC....GB GBGZBSZS ZSS.SBHB HBHPBFFP FPHPMFHM HMHLMPPL PLPRXLRX RXRQXKKQ KQVPQKPV PVLVDPDL DLLRDFFR FRJCFRJC JCKRCJRK RKLKRMML MLXQLMXQ XQXDQLLD LDJDNLJN JNLNHJHL HLLGHSGS
**DTMH** **Q?KR** **GQPS** **CTWB** **MZDF** **DJCQ** **NTMP** **CTGL** **JQXM** **GBZK** **WRHT** **GRMQ** **MKFN** **PGCB** **FKPS** **XGLN** **KCQB** **HCGK** **QCHJ** **KDHB**
**XSBK** **SFXY** **KHFM** **SY?F** **NRBK** **GPMR** **WKVR** **PQMD** **NTBF** **VSCR** **XVFP** **LHXC** **BLDR** **LTWJ** **TNRG** **TZCH** **XNVS** **WDNS** **XKTP** **LWFZ**

**DTMH** **Q?KR** **GQPS** **CTWB** **MZDF** **DJCQ** **NTMP** **CTGL** **JQXM** **GBZK** **WRHT** **GRMQ** **MKFN** **PGCB** **FKPS** **XGLN** **KCQB** **HCGK** **QCHJ** **KDHB**
**XSBK** **SFXY** **KHFM** **SY?F** **NRBK** **GPMR** **WKVR** **PQMD** **NTBF** **VSCR** **XVFP** **LHXC** **BLDR** **LTWJ** **TNRG** **TZCH** **XNVS** **WDNS** **XKTP** **LWFZ**
GVXSVGSX SXSXXCCX CXGXCSGS GSS.S.QV QVQRVKRK RKD.RRRD RDWDLRLW LW..JLJW JWJ..W?P ?P...R?R ?RHRH.H? H?.HH.KB KBBKKJJQ JQ...JMR MR.HR.VH VH..WHFW FWFC.C?C ?C.CV.BV BV..F.F? F?V.F.?V
KWDWRKRD RDQD.RJQ JQJQFZFZ FZDH.FHD HDLZDHZL ZLL..QXQ XQXQVPPV PVP...R? R?..RFFC FCVVC.YV YV.VBCCB CBLL.QLQ LQ.LQGGH GH.G..DH DH.H..MY MY...HKH KHK...KY KY..GKGY GY....YS YS....RM
JBJFBHFH FH.F..TB TBBHTMMH MHSHS.SN SNNSBTTB TB.BC.FC FCFKMCKM KMK.M.NY NYJ...JY JY.KJKKH KHW.H.WS WS.W..?S ?SS...?S ?S..W.WY WY....?W ?W..W.YQ YQF.QSFS FSSD.SDJ DJ..TJVT VTV.F.XF
NCNTMCMT MT....PV PVKNPVKN KNC...PC PCMPCFFM FMM.M.NS NSNTSBBT BT.TDDDV DV..VWGW GWG..XXD XDX.F.YF YF...CCY CY....XY XY.GX.G? G?.KRGKR KRT...?T ?T.N..ND NDSDNSS? S?.W.JWJ WJ.W..GY
**NFVC** **?DYG** **BXCZ** **DHS?** **QSCT** **MBRG** **FDSB** **KTJL** **PXRB** **FVTX** **HNKZ** **MWHR** **SRKG** **BDZM** **XHRK** **BLDX** **KXLC** **TBXD** **PWFJ** **XLTB**
**JWRG** **NXLC** **JNTV** **FTYJ** **LPVH** **LYP?** **XQLC** **NHDX** **TSVW** **DKJM** **FVBC** **TLDX** **ZHQJ** **KPXQ** **JMZC** **CSWF** **FJQP** **SHVJ** **MRKN** **VZFH**

**NFVC** **?DYG** **BXCZ** **DHS?** **QSCT** **MBRG** **FDSB** **KTJL** **PXRB** **FVTX** **HNKZ** **MWHR** **SRKG** **BDZM** **XHRK** **BLDX** **KXLC** **TBXD** **PWFJ** **XLTB**
**JWRG** **NXLC** **JNTV** **FTYJ** **LPVH** **LYP?** **XQLC** **NHDX** **TSVW** **DKJM** **FVBC** **TLDX** **ZHQJ** **KPXQ** **JMZC** **CSWF** **FJQP** **SHVJ** **MRKN** **VZFH**
PKKPVGGV GV??.G?G SGGXSVVX VX..V.XB XBXBCTCT CT.?.??K ZKKZSCCS CSNSCXXN XNCXRNRC RCRCTXTX TXFVXTVF VFFLVXLX LXZRXLZR ZR.RZMM? MNLMRNLR LRNLWRNW NWKWNPPK PKTKPDDT DTTDFNNF NFVNFWVW
LWTWRLRT RT??..T? TRLRTZZL ZL..Z.PG PGLPJGJL JLL?.?H? HXXDHRDR DRRTDMTM TMTSMFSF SFFLSMLM LMHLMCCH CHMCHQMQ MQMHQCCH CH.PCHP? PBJPBKKJ KJJKDXXD XDHXQDHQ HQQHXWXW XWGWKXGK GKGZKBBZ
NSNFSQFQ FQ?D..D? DBBMCDMC MCFM..FQ FQQDFHDH DH.?.?N? NVNQLVQL QLGQJLJG JGGJVBBV BVDVZBZD ZDRDBZRB RBBJDRJD JDVDKJKV KVKWXVXW XWXHWVVH VHBVHFFB FBFJBGGJ GJMBGJBM BMMRBHRH RHRQTHTQ
MZJMZCJC JC??.C?P WPJNPWJN JNJ..JRN RNRSVNVS VS.BS.JB JBFJPBPF PFKHFPHK HKPKHWPW PWWKJPJK JKJNKPNP NPTWNPTW TWSTWGSG SGSDGQDQ DQQDZCCZ CZCSZTTS TSSTLCLC LCSCVLVS VSPVSJJP JPXLJPLX
**KPSQ** **Y?NZ** **LMSW** **JYVD** **XDFG** **W?YZ** **NJPV** **GSCP** **CKHN** **RCSB** **JLXP** **FCVP** **VTXL** **SWGV** **LDWV** **JKZT** **HTND** **MCGW** **TDBX** **RQKP**
**TMZL** **FMXL** **GRPD** **?MZW** **RBJN** **LJSQ** **KZHR** **RQFM** **GJMF** **WLZP** **RDMT** **BJNQ** **MDWC** **NRCH** **QPBN** **NVHR** **SWBG** **QKPL** **GVSH** **GNJW**

**KPSQ** **Y?NZ** **LMSW** **JYVD** **XDFG** **W?YZ** **NJPV** **GSCP** **CKHN** **RCSB** **JLXP** **FCVP** **VTXL** **SWGV** **LDWV** **JKZT** **HTND** **MCGW** **TDBX** **RQKP**
**TMZL** **FMXL** **GRPD** **?MZW** **RBJN** **LJSQ** **KZHR** **RQFM** **GJMF** **WLZP** **RDMT** **BJNQ** **MDWC** **NRCH** **QPBN** **NVHR** **SWBG** **QKPL** **GVSH** **GNJW**
BCBMCLLM LM.M.LVK VKLVPKPL PL.MV.VM VMMVFNFN FNQN.QCQ CQQCPVPV PVR..PBR BRGRBNGN GN.N.BGB GBJGBTJT JTNJN.SN SNNSWLLW LWTWZ.TZ TZQPTZQP QP.VVQLV LVHVBLHB HB..HBJZ JZZDJHHD HDRY..YR
ZNKNZXXK XK..XZRZ RZGRZBGB GBGHX.XH XHXDWHWD WDW.W.KX KXKFXRFR FRRSFSQS QSCJQSCJ CJ.C..NV NVRDNVRD RD.C.QQC QCVQRCVR VR.WGVWG WGGCWVCV CV.VVQQG QGQTRGTR TRM..TSM SMWVSMWV WVFFKWKV
DQDGSQGS GS...GDC DCCMNDMN MN.M.NSC SCSBCGGB GBW.WZZW ZWNZBWNB NB..FPPF PFXPMFMX MXM..PQP QPCQMPMC MC.C.PPM PMMTPFTF TFS..HHS HSSDBHBD BDB.C.CW CWSWCKSK SKQKG.QG QGGQBNBN BNGN.?G?
HWTPHWTP TPT...QT QTTQSWWS WSJ..WJQ JQRQJTRT RTLL..LM LMLJHMJH JHJ..HHW HWWKHDKD KD..Z.XZ XZZLXFLF LFF..ZGZ GZGDXZXD XDN...NF NFLFMNLM LMJ...XJ XJJXNDDN DN.CP.CP CPTCPXXT XTNN..NZ
**DGHX** **TMYG** **TQNK** **GHRN** **SVWH** **ZLWY** **LFXW** **RQDH** **XRQS** **MNSF** **CGNF** **N?XP** **GQRF** **KLR?** **SCMZ** **B?VQ** **JXCL** **?GYB** **WQJM** **NLMS**
**BNCW** **?JNZ** **CVZB** **?PXY** **MQCT** **QN?C** **QCBM** **J?YS** **WPBD** **YTW?** **ZQBV** **GYJZ** **NSPZ** **TVZY** **GFTH** **YZCN** **QVRK** **QVHT** **ZCPN** **FYJ?**
